first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Nathan,Easom,366,https://www.linkedin.com/in/nathaneasom,2%,6922,Sales Director,Bamboo Rose,"Bloomfield, New Jersey",6782,340,,140
Jimmy,Curtin,367,https://www.linkedin.com/in/jimmycurtin-salescoach/,2%,7139,Founder/CEO/Certified Sales Coach/Fractional Sales Leader/Sales Trainer/Sales Process Developer,"Next Level Sales Performance, LLC","Dallas-Fort Worth, TX",7004,337,,135
Jennifer,Samples,368,linkedin.com/in/jensamples,2%,7684,CEO,715 Edge,"Atlanta, Georgia",7551,326,,133
Eric,Gonzalez,369,https://www.linkedin.com/in/ericegonzalez/,1%,9125,Senior Account Executive,Altium®,"San Francisco, California",8994,299,,131
Ron,Karr,370,https://www.linkedin.com/in/ronkarr/,2%,6528,Sales Growth Expert and Creator of the VELOCITY MINDSET™,"Karr Associates, Inc.","Westwood, New Jersey",6401,347,,127
Christy,Civitanova,371,https://www.linkedin.com/in/christy-civitanova-51469b78,3%,4065,Senior Account Director - Agency,GWI,,3941,381,,124
Art,Sobczak,372,https://www.linkedin.com/in/artsob/,2%,7902,"Helping sales pros get through, get in, and sell more, without ""rejection""",Business By Phone Inc,"Scottsdale, Arizona",7782,323,,120
Branden,Thorne,373,https://www.linkedin.com/in/brandenthorne/,2%,4974,Strategic Business Development Representative,Experian Employer Services,"Atlanta, Georgia",4865,365,,109
Jennifer,Gitomer,374,https://www.linkedin.com/in/jennifergitomer/,1%,8539,Chief Executive Officer and Founder,Sales in a New York Minute · Self-employed,"Charlotte, NC",8432,312,,107
Jen,Lyttle,375,https://www.linkedin.com/in/jenlyttle,4%,2295,Vice President of Sales,Aunt Flow,"Palo Alto, California",2201,399,,94
Tara,Horstmeyer,376,https://www.linkedin.com/in/tarahorstmeyer/,0%,28001,Executive LinkedIn Trainer + Advisor,Happy Words ,"Atlanta, GA",27909,118,,92
Kyle,Porter,377,https://www.linkedin.com/in/kyleporter,0%,21107,CEO,Salesloft,"Atlanta, Georgia",21018,158,,89
Bob,Apollo,378,https://www.linkedin.com/in/bobapollo/,1%,9408,Founder and Chief Outcomes Officer,Inflexion-Point Strategy Partners,"Poole, England",9329,289,,79
Patty,Irwin,379,https://www.linkedin.com/in/pattyirwin,3%,2417,Founder & Lead Voice Teacher,Patty Irwin Voice Studio,"Brooklyn, New York",2339,398,,78
Jason,Eatmon,380,https://www.linkedin.com/in/jason-eatmon/,2%,3988,Chief Experience Officer,ICU Technologies Inc,"Redding, California",3920,384,,68
Bob,Perkins,381,https://www.linkedin.com/in/perkinsbob/,1%,6817,AA-ISP,Board Member,"Phoenix, AZ",6756,342,,61
Nancy,Nardin,382,https://www.linkedin.com/in/nancynardin/,0%,14995,Advisor to SalesTech Vendors and Digital Transformation Leaders,NancyNardin.com,"Sacramento, California",14934,216,,61
Jeff,Davis,383,https://www.linkedin.com/in/jeffdavis/,3%,2123,Sr. Communications Strategist & Copywriter,Commas + Words,"Houston, TX",2062,401,,61
Sarah,Holland,384,https://www.linkedin.com/in/sarah-holland-6a983/,1%,4969,Sales Director,Unanet ,"Oakton, Virginia",4911,366,,58
Flyn,Penoyer,385,https://www.linkedin.com/in/flynpenoyer,0%,18371,Inside Sales Strategist,Penoyer Communications,San Jose,18321,177,,50
Steven,Norman,386,https://www.linkedin.com/in/growth-coach/,1%,7680,Founder,Growth Acumen,"Sydney, Australia",7641,327,,39
Oosman,Kader,387,https://www.linkedin.com/in/okader/,1%,6205,Senior Account Manager,Telstra,"Melbourne, Victoria, Australia",6166,352,,39
James,Parry,388,https://www.linkedin.com/in/jamesparry858/,0%,40885,Brand Ambassador,Alluviance,"San Diego, California",40855,77,,30
Jeff,Mahoney,389,https://www.linkedin.com/in/jeffmahoney1/,1%,2282,Founder,BPI Sales Solutions,"Orange, California",2254,400,,28
Katherine,McConnell,390,https://www.linkedin.com/in/katherine-mcconnell-vt/,0%,7921,Early-Stage Startups: Chief of Staff | Advisor | Community | Revenue | GTM | Strategy,Catalytic Sales & Marketing,"Burlington, Vermont",7894,321,,27
Janice,Mars,391,https://www.linkedin.com/in/janicemars/,0%,5924,Principal and Founder,SalesLatitude,"Bradenton, Florida",5897,356,,27
Kimberly,Shernoff,392,https://www.linkedin.com/in/kimberly-shernoff-57711a2/,0%,11375,Sales Enablement Director,Relative Insight,"Philadelphia, Pennsylvania",11363,257,,12
John,Smibert,393,https://www.linkedin.com/in/smibert/,0%,16279,Co Author,The Wentworth Prospect - EDVANCE,"Brisbane, Queensland, Australia",16274,202,,5
Jen,Ferguson,394,https://www.linkedin.com/in/jferg507/,0%,15269,Founder & Growth Strategist,Sales 911,"Tampa, Florida",15267,211,Salesforce,2
Kyle,Adams,395,https://www.linkedin.com/in/kylefranklinadams/,0%,16762,Account Executive,Vanta,"Austin, Texas",16763,194,,-1
Lianne,Fontaine,396,https://www.linkedin.com/in/liannefontaine,0%,10926,Account Executive,Highspot,"London, England, United Kingdom",10950,268,,-24
Dan,D’Amato,397,https://www.linkedin.com/in/dan-d%E2%80%99amato-0243671a/,0%,24323,Regional Sales Director,Netsuite,"Cary, North Carolina",24400,139,,-77
Trish,Bertuzzi,398,https://www.linkedin.com/in/trishbertuzzi/,0%,251795,CEO,The Bridge Group,Massachusetts,251958,4,,-163
Peter,Strohkorb,399,https://www.linkedin.com/in/peterstrohkorbsalesmarketing/,-1%,14754,Founder & Principal,Peter Strohkorb Sales Advisory,"Sydney, Australia",14921,218,,-167
Andy,Paul,400,https://www.linkedin.com/in/realandypaul/,0%,190696,Sell Without Selling Out,Sell Without Selling Out,"San Diego, California",190876,8,,-180
Mike,Kunkle,401,https://www.linkedin.com/in/mikekunkle/,0%,208089,"Vice President, Sales Effectiveness Services",SPARXiQ,"New Ipswich, NH",208389,7,,-300
Maximus,Greenwald,402,https://www.linkedin.com/in/max-greenwald/,,19740,"Co-Founder & CEO",Warmly,Berlin Metropolitan Area,,,,
Desanka,Murdzeva,403,https://www.linkedin.com/in/desankamurdzeva/,,8283,Senior SDR,Warmly,United States,,,,
Alan,Zhao,404,https://www.linkedin.com/in/alan-j-zhao/,,12066,"Co-founder, Head of Marketing",Warmly,Washington DC-Baltimore Area,,,,
Keegan,Otter,405,https://www.linkedin.com/in/keeganotter/,,8480,Head of Revenue & Operations,Warmly,Greater Phoenix Area,,,,
Katherine,Barnes,406,https://www.linkedin.com/in/katherinecbarnes/,,3515,Account Executive,Warmly,"Austin, Texas, United States",,,,
Cynthia,Handal,407,https://www.linkedin.com/in/cynthia-h-05a2005a/,,19628,Head of Global Sales & Evangelism,Simera,"Miami, Florida, United States",11343,,Top Lead Generation Voice,
Saurav,Gupta,408,https://www.linkedin.com/in/saurav-gupta-salesrobot/,,11442,Founder,Salesrobot,United States,9334,,,
Matthew,Putnam,409,https://www.linkedin.com/in/matthewrichardputnam,,23123,"Director, Global Sales Development",Thomas,"Newbury, England, United Kingdom",,,Top Sales Development Voice,
Robert,Bradley,,https://www.linkedin.com/in/robert-bradley-4354b636/,26%,3201,Founder,Profit Labs AI,Dallas,,,Top Lead Generation Voice,
